symbol,side,strategy_id,trades,pnl_sum,pnl_avg,win_rate,window,is_new_asset
ONDO/USDT:USDT,long,ondo_trend_discovery,188,57.12585542238756,0.30386093309780615,0.5585106382978723,6m,True
ONDO/USDT:USDT,short,ondo_trend_discovery,194,101.21820733877401,0.5217433367978042,0.5721649484536082,6m,True
RENDER/USDT:USDT,long,render_trend_discovery,206,266.1798050662709,1.2921349760498586,0.5728155339805825,6m,True
RENDER/USDT:USDT,short,render_trend_discovery,154,109.5380459567852,0.7112860127063974,0.525974025974026,6m,True
SOL/USDT:USDT,long,sol_trend_discovery,173,110.84469101938045,0.6407207573374593,0.5144508670520231,6m,True
SOL/USDT:USDT,short,sol_trend_discovery,201,72.35232856353257,0.35996183364941575,0.5572139303482587,6m,True
SUI/USDT:USDT,long,sui_trend_discovery,142,43.64908684085961,0.30738793549901133,0.5633802816901409,6m,True
SUI/USDT:USDT,short,sui_trend_discovery,204,200.74368388088743,0.9840376660827815,0.5833333333333334,6m,True
TON/USDT:USDT,long,ton_trend_discovery,193,59.780159741898636,0.3097417603207183,0.5544041450777202,6m,True
TON/USDT:USDT,short,ton_trend_discovery,184,160.45231385458456,0.8720234448618726,0.5380434782608695,6m,True
TRX/USDT:USDT,long,trx_trend,21,13.775493095672973,0.655975861698713,0.5714285714285714,6m,False
XLM/USDT:USDT,long,xlm_trend_discovery,160,191.9537565051243,1.1997109781570268,0.60625,6m,True
XLM/USDT:USDT,short,xlm_trend_discovery,182,202.02123445810324,1.110006782736831,0.5769230769230769,6m,True
XRP/USDT:USDT,long,xrp_trend,10,171.18042851247455,17.118042851247456,0.9,6m,False
XRP/USDT:USDT,short,xrp_trend,200,800.1928797952587,4.0009643989762935,0.55,6m,False
