ts,n_opps,n_features,n_scores,n_accepts,gross_weight,active_symbols,port_ret_simple,equity_simple,port_ret,equity
2026-02-10 17:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 18:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 19:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 20:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 21:00:00+00:00,10,10,10,8,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 22:00:00+00:00,10,10,10,8,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-10 23:00:00+00:00,10,10,10,8,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 00:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 01:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 02:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 03:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 04:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 05:00:00+00:00,10,10,10,6,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 06:00:00+00:00,10,10,10,7,0.0,0,0.0,1016.0398230606542,0.0,1004.6744868724041
2026-02-11 07:00:00+00:00,10,10,10,8,0.07,1,5.192537313432833e-05,1016.092581307586,0.0,1004.4371871751532
2026-02-11 08:00:00+00:00,10,10,10,8,0.07,1,0.00010633260791960365,1016.2006250816441,0.0,1004.4895208659334
2026-02-11 09:00:00+00:00,10,10,10,9,0.07,1,0.00035875096860668034,1016.565188040191,0.0,1004.5966101285561
2026-02-11 10:00:00+00:00,10,10,10,10,0.07,1,-0.0005441614290440012,1016.0120124747506,0.0,1004.9573651076568
2026-02-11 11:00:00+00:00,10,10,10,10,0.07,1,-7.958462020500879e-05,1015.9311535446141,0.0,1004.4129683645306
2026-02-11 12:00:00+00:00,10,10,10,10,0.07,1,-0.0003390502420297037,1015.5867018411192,0.0,1004.332730391946
