symbol,base,in_current_registry,binance_type,bitget_type,binance_active,bitget_active
INJ/USDT:USDT,INJ,False,swap,swap,True,True
INTC/USDT:USDT,INTC,False,swap,swap,True,True
INX/USDT:USDT,INX,False,swap,swap,True,True
IO/USDT:USDT,IO,False,swap,swap,True,True
IOST/USDT:USDT,IOST,False,swap,swap,True,True
IOTA/USDT:USDT,IOTA,False,swap,swap,True,True
IOTX/USDT:USDT,IOTX,False,swap,swap,True,True
IP/USDT:USDT,IP,False,swap,swap,True,True
IREN/USDT:USDT,IREN,False,swap,swap,True,True
IRYS/USDT:USDT,IRYS,False,swap,swap,True,True
IWM/USDT:USDT,IWM,False,swap,swap,True,True
JASMY/USDT:USDT,JASMY,False,swap,swap,True,True
JCT/USDT:USDT,JCT,False,swap,swap,True,True
JOE/USDT:USDT,JOE,False,swap,swap,True,True
JST/USDT:USDT,JST,False,swap,swap,True,True
JTO/USDT:USDT,JTO,False,swap,swap,True,True
JUP/USDT:USDT,JUP,False,swap,swap,True,True
KAIA/USDT:USDT,KAIA,False,swap,swap,True,True
KAITO/USDT:USDT,KAITO,False,swap,swap,True,True
KAS/USDT:USDT,KAS,False,swap,swap,True,True
KAT/USDT:USDT,KAT,False,swap,swap,True,True
KAVA/USDT:USDT,KAVA,False,swap,swap,True,True
KERNEL/USDT:USDT,KERNEL,False,swap,swap,True,True
KGEN/USDT:USDT,KGEN,False,swap,swap,True,True
KITE/USDT:USDT,KITE,False,swap,swap,True,True
KMNO/USDT:USDT,KMNO,False,swap,swap,True,True
KNC/USDT:USDT,KNC,False,swap,swap,True,True
KSM/USDT:USDT,KSM,False,swap,swap,True,True
LA/USDT:USDT,LA,False,swap,swap,True,True
LAB/USDT:USDT,LAB,False,swap,swap,True,True
LAYER/USDT:USDT,LAYER,False,swap,swap,True,True
LDO/USDT:USDT,LDO,False,swap,swap,True,True
LINEA/USDT:USDT,LINEA,False,swap,swap,True,True
LISTA/USDT:USDT,LISTA,False,swap,swap,True,True
LIT/USDT:USDT,LIT,False,swap,swap,True,True
LITE/USDT:USDT,LITE,False,swap,swap,True,True
LLY/USDT:USDT,LLY,False,swap,swap,True,True
LPT/USDT:USDT,LPT,False,swap,swap,True,True
LQTY/USDT:USDT,LQTY,False,swap,swap,True,True
LSK/USDT:USDT,LSK,False,swap,swap,True,True
LTC/USDT:USDT,LTC,False,swap,swap,True,True
LUMIA/USDT:USDT,LUMIA,False,swap,swap,True,True
LYN/USDT:USDT,LYN,False,swap,swap,True,True
M/USDT:USDT,M,False,swap,swap,True,True
MAGIC/USDT:USDT,MAGIC,False,swap,swap,True,True
MAGMA/USDT:USDT,MAGMA,False,swap,swap,True,True
MANA/USDT:USDT,MANA,False,swap,swap,True,True
MANTA/USDT:USDT,MANTA,False,swap,swap,True,True
MANTRA/USDT:USDT,MANTRA,False,swap,swap,True,True
MASK/USDT:USDT,MASK,False,swap,swap,True,True
MAV/USDT:USDT,MAV,False,swap,swap,True,True
ME/USDT:USDT,ME,False,swap,swap,True,True
MEGA/USDT:USDT,MEGA,False,swap,swap,True,True
MELANIA/USDT:USDT,MELANIA,False,swap,swap,True,True
MEME/USDT:USDT,MEME,False,swap,swap,True,True
MERL/USDT:USDT,MERL,False,swap,swap,True,True
MET/USDT:USDT,MET,False,swap,swap,True,True
META/USDT:USDT,META,False,swap,swap,True,True
METIS/USDT:USDT,METIS,False,swap,swap,True,True
MEW/USDT:USDT,MEW,False,swap,swap,True,True
MINA/USDT:USDT,MINA,False,swap,swap,True,True
MIRA/USDT:USDT,MIRA,False,swap,swap,True,True
MMT/USDT:USDT,MMT,False,swap,swap,True,True
MOCA/USDT:USDT,MOCA,False,swap,swap,True,True
MON/USDT:USDT,MON,False,swap,swap,True,True
MOODENG/USDT:USDT,MOODENG,False,swap,swap,True,True
MORPHO/USDT:USDT,MORPHO,False,swap,swap,True,True
MOVE/USDT:USDT,MOVE,False,swap,swap,True,True
MOVR/USDT:USDT,MOVR,False,swap,swap,True,True
MRVL/USDT:USDT,MRVL,False,swap,swap,True,True
MSFT/USDT:USDT,MSFT,False,swap,swap,True,True
MSTR/USDT:USDT,MSTR,False,swap,swap,True,True
MTL/USDT:USDT,MTL,False,swap,swap,True,True
MU/USDT:USDT,MU,False,swap,swap,True,True
MUBARAK/USDT:USDT,MUBARAK,False,swap,swap,True,True
MYX/USDT:USDT,MYX,False,swap,swap,True,True
NAORIS/USDT:USDT,NAORIS,False,swap,swap,True,True
NATGAS/USDT:USDT,NATGAS,False,swap,swap,True,True
NBIS/USDT:USDT,NBIS,False,swap,swap,True,True
NEAR/USDT:USDT,NEAR,False,swap,swap,True,True
NEO/USDT:USDT,NEO,False,swap,swap,True,True
NEWT/USDT:USDT,NEWT,False,swap,swap,True,True
NFLX/USDT:USDT,NFLX,False,swap,swap,True,True
NIGHT/USDT:USDT,NIGHT,False,swap,swap,True,True
NIL/USDT:USDT,NIL,False,swap,swap,True,True
NMR/USDT:USDT,NMR,False,swap,swap,True,True
